,data-object,img
12,"{'objId': 37519, 'developer': {'devId': 627, 'shortName': 'АСТРАИНВЕСТСТРОЙ', 'fullName': 'АСТРАИНВЕСТСТРОЙ', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658374366'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Тенистая, д. 26', 'objCommercNm': 'ЖК ""Домино""', 'objFloorMin': 10, 'objFloorMax': 10, 'objElemLivingCnt': 131, 'objReady100PercDt': '2023-12-31', 'objSquareLiving': 5754.8, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8015, 'longitude': 60.4978, 'problemFlag': 'NONE', 'siteStatus': 'Строящиеся', 'objGuarantyEscrowFlg': 1, 'residentialBuildings': 1, 'rpdNum': '66-000872', 'pdId': 372600, 'buildType': 'Жилое', 'objStatus': 0}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/9c39de9a-a22c-4b23-9dcb-f278d98a1ff1
13,"{'objId': 37520, 'developer': {'devId': 627, 'shortName': 'АСТРАИНВЕСТСТРОЙ', 'fullName': 'АСТРАИНВЕСТСТРОЙ', 'groupName': 'Астра', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5812, 'devInn': '6658374366'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Тенистая, д. 26', 'objCommercNm': 'ЖК ""Домино""', 'objFloorMin': 1, 'objFloorMax': 1, 'objElemLivingCnt': 0, 'objReady100PercDt': '2023-12-31', 'objSquareLiving': 0.0, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8015, 'longitude': 60.4978, 'problemFlag': 'NONE', 'siteStatus': 'Строящиеся', 'objGuarantyEscrowFlg': 1, 'residentialBuildings': 0, 'rpdNum': '66-000872', 'pdId': 372600, 'buildType': 'Нежилое', 'objStatus': 0}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/60f7361b-f012-4973-b6a8-9b36ec2e0b26
14,"{'objId': 5598, 'developer': {'devId': 641, 'shortName': 'БАШНЯ ВРЕМЕНИ', 'fullName': 'БАШНЯ ВРЕМЕНИ', 'groupName': 'Фортис Девелопмент', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 6973, 'devInn': '6685022243'}, 'rpdRegionCd': 66, 'objAddr': 'город Екатеринбург, район Железнодорожный, улица Стрелочников', 'objCommercNm': 'ЖК ""Стрелки""', 'objFloorMin': 5, 'objFloorMax': 27, 'objElemLivingCnt': 403, 'objReady100PercDt': '2018-12-29', 'objSquareLiving': 19047.6, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.856, 'longitude': 60.5838, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000054', 'pdId': 6519, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/bca21955-635f-4a32-800f-d55430992b4f
15,"{'objId': 28308, 'developer': {'devId': 641, 'shortName': 'БАШНЯ ВРЕМЕНИ', 'fullName': 'БАШНЯ ВРЕМЕНИ', 'groupName': 'Фортис Девелопмент', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 6973, 'devInn': '6685022243'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Стрелочников, строение 2', 'objCommercNm': 'ЖК ""Стрелки""', 'objFloorMin': 5, 'objFloorMax': 27, 'objElemLivingCnt': 403, 'objReady100PercDt': '2019-10-04', 'objSquareLiving': 19047.6, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.856, 'longitude': 60.5838, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000685', 'pdId': 105680, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/ca44a22a-b007-43ae-ae78-ba27a18c03be
16,"{'objId': 9069, 'developer': {'devId': 2702, 'shortName': 'БИГ', 'fullName': 'БИЗНЕС - ИНТЕЛЛЕКТУАЛЬНАЯ ГРУППА', 'groupName': 'Бизнес-интеллектуальная группа', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 8218, 'devInn': '6658119172'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Родонитовая, д. 20', 'objFloorMin': 11, 'objFloorMax': 15, 'objElemLivingCnt': 70, 'objReady100PercDt': '2019-09-10', 'objSquareLiving': 3142.0, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7913, 'longitude': 60.6254, 'complexShortName': 'Родонитовая,20 г. Екатеринбург', 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000282', 'pdId': 15657, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/6941bdb4-c44e-40ef-b4f1-56c849db8836
17,"{'objId': 4084, 'developer': {'devId': 1395, 'shortName': 'БИГРАНД', 'fullName': 'БИГРАНД', 'groupName': 'Центр Недвижимости Северная Казна', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 6663, 'devInn': '6658140142'}, 'rpdRegionCd': 66, 'objAddr': 'город Екатеринбург, улица Энтузиастов - Шефская, блок-секция 1Б', 'objCommercNm': 'Жилой комплекс ""Демидовский""', 'objFloorMin': 18, 'objFloorMax': 18, 'objElemLivingCnt': 211, 'objReady100PercDt': '2018-09-13', 'objSquareLiving': 7330.81, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8956, 'longitude': 60.6321, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000619', 'pdId': 7932, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/12d7b2ab-5929-493b-8804-2128b2b1d8d0
18,"{'objId': 6018, 'developer': {'devId': 1395, 'shortName': 'БИГРАНД', 'fullName': 'БИГРАНД', 'groupName': 'Центр Недвижимости Северная Казна', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 6663, 'devInn': '6658140142'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, Улица Энтузиастов, д. 36, корпус б, блок-секция 1В', 'objCommercNm': 'Жилой комплекс ""Демидовский""', 'objFloorMin': 25, 'objFloorMax': 25, 'objElemLivingCnt': 211, 'objReady100PercDt': '2020-07-17', 'objSquareLiving': 10869.18, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8958, 'longitude': 60.6318, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000060', 'pdId': 12989, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/e6f555a2-772e-461a-aa10-b2154072779b
19,"{'objId': 38826, 'developer': {'devId': 1395, 'shortName': 'БИГРАНД', 'fullName': 'БИГРАНД', 'groupName': 'Центр Недвижимости Северная Казна', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 6663, 'devInn': '6658140142'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул Энтузиастов, д. 36, корпус Б/3, блок-секция 1Г', 'objCommercNm': 'Жилой комплекс ""Демидовский"" 2 очередь строительства', 'objFloorMin': 17, 'objFloorMax': 17, 'objElemLivingCnt': 100, 'objReady100PercDt': '2022-08-11', 'objSquareLiving': 5240.68, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8917, 'longitude': 60.6198, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000946', 'pdId': 420058, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/188681eb-8b06-4238-95ca-570b530f2d3e
20,"{'objId': 3369, 'developer': {'devId': 1185, 'shortName': 'БОТАНИЧЕСКИЙ САД', 'fullName': 'БОТАНИЧЕСКИЙ САД', 'groupName': 'ТЭН', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5841, 'devInn': '6658489367'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, улица 8 Марта, д. 204, корпус б', 'objCommercNm': 'Жилой комплекс ""Ботанический Сад""', 'objFloorMin': 27, 'objFloorMax': 27, 'objElemLivingCnt': 198, 'objReady100PercDt': '2020-06-08', 'objSquareLiving': 12819.55, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7981, 'longitude': 60.6099, 'complexShortName': 'Ботанический сад', 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000020', 'pdId': 3403, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/2cb2c52f-31d8-4429-9f61-577ea3d22088
21,"{'objId': 25480, 'developer': {'devId': 1185, 'shortName': 'БОТАНИЧЕСКИЙ САД', 'fullName': 'БОТАНИЧЕСКИЙ САД', 'groupName': 'ТЭН', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5841, 'devInn': '6658489367'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, ул 8 марта', 'objCommercNm': 'Жилой комплекс ""Ботанический сад""', 'objFloorMin': 22, 'objFloorMax': 31, 'objElemLivingCnt': 458, 'objReady100PercDt': '2021-08-11', 'objSquareLiving': 30512.2, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7976, 'longitude': 60.609, 'complexShortName': 'Ботанический сад', 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000657', 'pdId': 47622, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/55ba6562-84e1-45ef-aadd-2ad4e3916a3e
22,"{'objId': 3687, 'developer': {'devId': 268, 'shortName': 'БРИК', 'fullName': 'БРИК', 'groupName': 'PRINZIP', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 6208, 'devInn': '6658406160'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург, улица Маяковского, д. 2, литера Е', 'objCommercNm': 'Жилой комплекс ""Малевич"" (ЖК ""Малевич"")', 'objFloorMin': 34, 'objFloorMax': 34, 'objElemLivingCnt': 348, 'objReady100PercDt': '2020-03-16', 'objSquareLiving': 15345.0, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.8613, 'longitude': 60.616, 'complexShortName': 'Малевич', 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000026', 'pdId': 1399, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/7188556b-c755-4abd-938e-7acb795e18c3
24,"{'objId': 17010, 'developer': {'devId': 154, 'shortName': 'БРУСНИКА', 'fullName': 'БРУСНИКА.СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК', 'groupName': 'Брусника', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5791, 'devInn': '6671382990'}, 'rpdRegionCd': 66, 'objAddr': 'Екатеринбург, улица Суходольская-Ландау-Ручейная', 'objFloorMin': 6, 'objFloorMax': 16, 'objElemLivingCnt': 325, 'objReady100PercDt': '2018-12-13', 'objSquareLiving': 15030.73, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7908, 'longitude': 60.4869, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000278', 'pdId': 35386, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/4d3b02a1-50e8-4d98-9809-f1dfde32eb44
25,"{'objId': 17011, 'developer': {'devId': 154, 'shortName': 'БРУСНИКА', 'fullName': 'БРУСНИКА.СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК', 'groupName': 'Брусника', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5791, 'devInn': '6671382990'}, 'rpdRegionCd': 66, 'objAddr': 'Екатеринбург, улица Гастелло-Дальневосточная-Мраморская', 'objFloorMin': 10, 'objFloorMax': 17, 'objElemLivingCnt': 341, 'objReady100PercDt': '2018-12-29', 'objSquareLiving': 18871.14, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7836, 'longitude': 60.6489, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000279', 'pdId': 35403, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/a28e0ad3-6586-4bb7-ae5a-8b12581d0902
26,"{'objId': 17009, 'developer': {'devId': 154, 'shortName': 'БРУСНИКА', 'fullName': 'БРУСНИКА.СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК', 'groupName': 'Брусника', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5791, 'devInn': '6671382990'}, 'rpdRegionCd': 66, 'objAddr': 'Екатеринбург, улица Новосибирская', 'objFloorMin': 2, 'objFloorMax': 16, 'objElemLivingCnt': 506, 'objReady100PercDt': '2019-03-06', 'objSquareLiving': 24576.03, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7455, 'longitude': 60.5664, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000277', 'pdId': 35327, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/e56e17ab-9d28-4e4a-baec-98580ccc1f68
27,"{'objId': 12550, 'developer': {'devId': 154, 'shortName': 'БРУСНИКА', 'fullName': 'БРУСНИКА.СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК', 'groupName': 'Брусника', 'orgForm': {'id': 4, 'fullForm': 'Общество с ограниченной ответственностью', 'shortForm': 'ООО'}, 'companyGroup': 5791, 'devInn': '6671382990'}, 'rpdRegionCd': 66, 'objAddr': 'г Екатеринбург', 'objCommercNm': 'Квартал ""Суходольский""', 'objFloorMin': 5, 'objFloorMax': 16, 'objElemLivingCnt': 330, 'objReady100PercDt': '2019-12-13', 'objSquareLiving': 15285.9, 'objCompensFundFlg': 0, 'objProblemFlg': 0, 'latitude': 56.7971, 'longitude': 60.492, 'problemFlag': 'NONE', 'siteStatus': 'Сданные', 'objGuarantyEscrowFlg': 0, 'residentialBuildings': 1, 'rpdNum': '66-000514', 'pdId': 25813, 'buildType': 'Жилое', 'objStatus': 2}",https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/acb75089-0b34-4165-affe-2a4ae60caf6d
